Hewlett-Packard,Bestuur Hewlett-Packard
Houtverwerkende industrie,Bestuur Houtverwerkende industrie
Blue Sky Group,Bestuur Blue Sky Group
Architectenbureaus,Bestuur Architectenbureaus
Huntsman Rozenburg,Bestuur Huntsman Rozenburg
Landbouw,Bestuur Landbouw
Coram,Beleggingscommissie Coram
Cate Koninklijke,Beleggingscommissie Cate Koninklijke
Ring Pon,Bestuur Ring Pon
Rockwool,Bestuur Rockwool
Levensmiddelenbedrijf,Bestuur Levensmiddelenbedrijf
Heijmans,Bestuur Heijmans
Gasunie,Bestuur Gasunie
Bibliotheken openbare,Bestuur Bibliotheken openbare
Ecolab,Bestuur Ecolab
Rijn- en Binnenvaart,Bestuur Rijn- en Binnenvaart
Sligro Food Group,Bestuur Sligro Food Group
Citigroup Nederland,Bestuur Citigroup Nederland
Chevron,Bestuur Chevron
Hoogovens,Bestuur Hoogovens
FORD Nederland,Beleggingscommissie FORD Nederland
KPN,Beleggingscommissie KPN
NN CDC fonds,Beleggingscommissie NN CDC fonds
SNS Reaal Groep,Beleggingscommissie SNS Reaal Groep
Shell,Beleggingscommissie Shell
Tandartsen en Tandarts-Specialisten,Bestuur Tandartsen en Tandarts-Specialisten
Deloitte,Bestuur Deloitte
"Metalektro, bedrijfstakpensioenfonds","Bestuur Metalektro, bedrijfstakpensioenfonds"
Nedlloyd,Bestuur Nedlloyd
Invista,Bestuur Invista
Forbo,Bestuur Forbo
Telegraafpensioenfonds 1959,Bestuur Telegraafpensioenfonds 1959
Cargill,Bestuur Cargill
Huysman,Bestuur Huysman
Robeco AM,Bestuur Robeco AM
"Mode-, Interieur-, Tapijt- en Textielindustrie","Bestuur Mode-, Interieur-, Tapijt- en Textielindustrie"
Medewerkers Apotheken,Bestuur Medewerkers Apotheken
Cap Gemini Nederland,Bestuur Cap Gemini Nederland
Kunststof- en Rubberindustrie,Bestuur Kunststof- en Rubberindustrie
Ring Transavia cabinepersoneel,Bestuur Ring Transavia cabinepersoneel
Robeco,Bestuur Robeco
De Nationale,Bestuur De Nationale
Co-op,Beleggingscommissie Co-op
Sanoma Magazines Nederland,Beleggingscommissie Sanoma Magazines Nederland
Cap Gemini Nederland,Beleggingscommissie Cap Gemini Nederland
Houthandel,Beleggingscommissie Houthandel
Mars,Beleggingscommissie Mars
ARCADIS Nederland,Beleggingscommissie ARCADIS Nederland
PepsiCo Nederland,Beleggingscommissie PepsiCo Nederland
Timeos,Beleggingscommissie Timeos
ING,Bestuur ING
HAL,Bestuur HAL
IBM Nederland,Bestuur IBM Nederland
PostNL,Bestuur PostNL
Volo,Bestuur Volo
KLM Algemeen,Bestuur KLM Algemeen
PPG Industries Nederland,Bestuur PPG Industries Nederland
Rabobankorganisatie,Bestuur Rabobankorganisatie
SPF beheer,Beleggingscommissie SPF beheer
Het Nederlandse Pensioenfonds,Beleggingscommissie Het Nederlandse Pensioenfonds
Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie,Beleggingscommissie Vlees- en Vleeswarenindustrie en de Gemaksvoedingindustrie
Schoenmakerij,Bestuur Schoenmakerij
BlackRock,Bestuur BlackRock
Lloyd's Register Nederland,Bestuur Lloyd's Register Nederland
Media PNO,Bestuur Media PNO
Russell,Bestuur Russell
Alcatel-Lucent,Bestuur Alcatel-Lucent
Zorg en Welzijn,Bestuur Zorg en Welzijn
YARA Nederland,Bestuur YARA Nederland
Ring DHV,Bestuur Ring DHV
Holland Casino,Bestuur Holland Casino
British American Tobacco,Bestuur British American Tobacco
Albemarle,Bestuur Albemarle
GE Artesia Bank,Beleggingscommissie GE Artesia Bank
Cindu International,Beleggingscommissie Cindu International
AXA,Beleggingscommissie AXA
Rockwool,Beleggingscommissie Rockwool
PepsiCo Nederland,Bestuur PepsiCo Nederland
Deutsche Bank Nederland,Bestuur Deutsche Bank Nederland
Drankindustrie,Bestuur Drankindustrie
Woningcorporaties,Bestuur Woningcorporaties
McCain,Bestuur McCain
"Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf","Bestuur Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf"
Houthandel,Bestuur Houthandel
Verloskundigen,Bestuur Verloskundigen
Metaal en Techniek,Bestuur Metaal en Techniek
Achmea IM,Bestuur Achmea IM
Witteveen & Bos,Bestuur Witteveen & Bos
Achmea Personeel,Bestuur Achmea Personeel
Ernst & Young,Bestuur Ernst & Young
Atradius,Bestuur Atradius
Elsevier-Ondernemingen,Bestuur Elsevier-Ondernemingen
Fracties,Bestuur Fracties
Vitol Anker,Beleggingscommissie Vitol Anker
Houtverwerkende industrie,Beleggingscommissie Houtverwerkende industrie
CRH,Beleggingscommissie CRH
Wonen,Bestuur Wonen
Security,Bestuur Security
Campina,Bestuur Campina
Ring Haskoning,Bestuur Ring Haskoning
Huisartsen,Bestuur Huisartsen
VNU,Bestuur VNU
Drankindustrie,Beleggingscommissie Drankindustrie
ABN AMRO Bank,Beleggingscommissie ABN AMRO Bank
AVEBE,Beleggingscommissie AVEBE
Buizerdlaan,Bestuur Buizerdlaan
Witteveen & Bos,Beleggingscommissie Witteveen & Bos
Zuivel en aanverwante industrie,Beleggingscommissie Zuivel en aanverwante industrie
Rijn- en Binnenvaart,Beleggingscommissie Rijn- en Binnenvaart
Centraal Beheer,Beleggingscommissie Centraal Beheer
Alcatel-Lucent,Beleggingscommissie Alcatel-Lucent
Urenco Nederland,Beleggingscommissie Urenco Nederland
SABIC,Bestuur SABIC
PGB,Bestuur PGB
Philips,Bestuur Philips
Bouwnijverheid,Bestuur Bouwnijverheid
Consumentenbond,Beleggingscommissie Consumentenbond
Medewerkers Apotheken,Beleggingscommissie Medewerkers Apotheken
Textielgoederen en Aanverwante Artikelen Groothandel,Bestuur Textielgoederen en Aanverwante Artikelen Groothandel
Cosun,Bestuur Cosun
TOTAL,Bestuur TOTAL
Spoorwegpensioenfonds,Beleggingscommissie Spoorwegpensioenfonds
Roba,Beleggingscommissie Roba
Staples,Beleggingscommissie Staples
Ring Transavia cabinepersoneel,Beleggingscommissie Ring Transavia cabinepersoneel
Wolters Kluwer Nederland,Beleggingscommissie Wolters Kluwer Nederland
B&S,Bestuur B&S
Reisbranche,Bestuur Reisbranche
Lanschot,Bestuur Lanschot
AZL,Bestuur AZL
Abbott Nederland,Bestuur Abbott Nederland
GE Artesia Bank,Bestuur GE Artesia Bank
Personeelsdiensten,Bestuur Personeelsdiensten
NIBC,Bestuur NIBC
Schoonmaak- en Glazenwassersbedrijf,Bestuur Schoonmaak- en Glazenwassersbedrijf
Will Niemeijer,Beleggingscommissie Will Niemeijer
"Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf","Beleggingscommissie Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf"
AZL,Beleggingscommissie AZL
Albemarle,Beleggingscommissie Albemarle
AXA,Bestuur AXA
Mars,Bestuur Mars
Dierenartsen,Bestuur Dierenartsen
SC Johnson,Bestuur SC Johnson
IBM Nederland,Beleggingscommissie IBM Nederland
TBI,Beleggingscommissie TBI
Wonen,Beleggingscommissie Wonen
PostNL,Beleggingscommissie PostNL
TNT express,Bestuur TNT express
CRH,Bestuur CRH
Groothandel,Bestuur Groothandel
Ring Transavia grondpersoneel,Bestuur Ring Transavia grondpersoneel
Dow,Bestuur Dow
NN CDC fonds,Bestuur NN CDC fonds
Douwe Egberts,Bestuur Douwe Egberts
Ring Pon,Beleggingscommissie Ring Pon
"Schoen-, Leder- en Lederwarenindustrie","Beleggingscommissie Schoen-, Leder- en Lederwarenindustrie"
Cindu International,Bestuur Cindu International
Croda,Bestuur Croda
General Electric Nederland,Bestuur General Electric Nederland
Pensura,Bestuur Pensura
Urenco Nederland,Bestuur Urenco Nederland
Bisdommen,Bestuur Bisdommen
TKP,Bestuur TKP
ARCADIS Nederland,Bestuur ARCADIS Nederland
AFM,Bestuur AFM
ABP,Bestuur ABP
Personeelspensioenfonds APG,Bestuur Personeelspensioenfonds APG
Randstad,Beleggingscommissie Randstad
ANWB P,Beleggingscommissie ANWB P
Douwe Egberts,Beleggingscommissie Douwe Egberts
Bisdommen,Beleggingscommissie Bisdommen
MPD,Bestuur MPD
Cate Koninklijke,Bestuur Cate Koninklijke
Loodsen,Bestuur Loodsen
"Mode-, Interieur-, Tapijt- en Textielindustrie","Beleggingsadviseur Mode-, Interieur-, Tapijt- en Textielindustrie"
Bavaria,Beleggingsadviseur Bavaria
Notarieel,Bestuur Notarieel
Spoorwegpensioenfonds,Bestuur Spoorwegpensioenfonds
AT&T Nederland,Bestuur AT&T Nederland
Aon Groep Nederland,Bestuur Aon Groep Nederland
Getronics,Bestuur Getronics
Roeiers in het Rotterdamse havengebied,Bestuur Roeiers in het Rotterdamse havengebied
NIBC,Beleggingscommissie NIBC
Ring Haskoning,Beleggingscommissie Ring Haskoning
Hoogovens,Beleggingscommissie Hoogovens
Archimedes,Beleggingscommissie Archimedes
Trespa,Bestuur Trespa
Grontmij,Bestuur Grontmij
Apothekers,Bestuur Apothekers
Vopak,Bestuur Vopak
Allianz Nederland,Bestuur Allianz Nederland
Zoetwarenindustrie,Bestuur Zoetwarenindustrie
Kas Bank,Bestuur Kas Bank
